Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Month,Industry/ Vertical,Sub-Vertical,Industry/Vertical,City,Investor Name,Amount(in USD),Investment Type,Founding Date,Founders,Investors,Investment Stage,Amount_Numeric,Amount_Log,Combined_Description,Cleaned_Description,City_Encoded,Industry/Vertical_Encoded,Investment Stage_Encoded
Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"2,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
KeepTrax,Location Based App,Dallas / Hyderabad,,Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"120,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"165,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"150,000,000",Series G (Checkprev funding details here),2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"2,200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LogiNext,Logistics Tech,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures",Private Equity,"10,000,000","Series D( In Feb it was announced they raised 26M, but it is 36M, so added here)",2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"25,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"400,000,000",Series E (Updated from 315M to 400M after Press Release),2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,"200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"2,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,"165,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Urban Ladder,Online FurnishingeCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"50,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Purple Squirrel,Ed-Tech,Mumbai,"Matrix Partners India, India Quotient",Private Equity,,Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Whatfix,Interactive  How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"900,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
iMMi Life,Mobile Health Tech,Chennai,Unitus Seed Fund,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,"25,000,000",Late Stage,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"10,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,"300,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
The Porter,Logistics Tech,Mumbai,Kae Capital,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Commeasure,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,"1,250,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"5,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"35,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"10,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"40,000,000",Series D,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"1,600,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Taskbob,OnDemandMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"1,200,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"12,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Doormint,On-Demand Handyman Services,Mumbai,Powai Lake Ventures,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Vyomo,Beauty & Wellness Mobile App,Gurgaon,YouWeCan Ventures,Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,"4,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"6,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"50,000,000",Series E,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,"28,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
FindYahan,Hyperlocal services marketplace,New Delhi,The Phoenix Fund,Private Equity,,Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,"3,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"1,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"15,000,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"18,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"1,800,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
happay,business expense management,Bangalore,AngelPrime,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
EazyDiner,Restaurant reservation app,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Phone Warrior,Spam Call block App,New Delhi,Lightspeed Ventures,Seed Funding,,Pre-Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"12,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,"350,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,  91SpringBoard",Seed Funding,"400,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
GIBBS,Clean Tech,New Delhi,Infuse Ventures fund,Private Equity,,Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,"10,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Urban Ladder,Online Furniture ecommerce,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,,Series D,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,"250,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"21,500,000",Series C,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"1,000,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"6,000,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,"3,500,000",Series A,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Dazo,Mobile Food Ordering app,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,,,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,"400,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"500,000",,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"8,000,000",Series B,2015,Apr,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"500,000,000",Late Stage Round 7th (More details),2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,"400,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Cuelearn,Tech-enabled learning,New Delhi,Alok Mittal,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,"5,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
The Home Salon,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Jusride,Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,"100,000,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Glowship,Energy & Environment Online Marketplace,Bangalore,Infuse Ventures,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"9,600,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"1,300,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"1,300,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"30,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"3,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"500,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Zocalo,Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Klozee,Luxury Apparel rental,Bangalore,Tracxn Labs,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000",pre Series-A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"90,000,000",Series C,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LoudShout,anonymous bulletin board app,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Wetravelsolo,Travel community platform,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"25,000,000",Series C,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
NDTV ecommerce venture,Car & Bike ecommerce platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,,Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,"630,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000",Pre-Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
GIBSS,Energy saving solutions provider,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,,Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
StoreMore.in,Self-Storage Spaces,Noida,Bedrock Ventures,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
iOrderFresh,Grocery retail Mobile app,New Delhi,Best Foodworks,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,"500,000",Pre Series-A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Actionable Analytics,Machine Learning Platform,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"250,000",QPrize Contest Winners,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
NearBuy(previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"250,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,"1,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Grey Orange,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,"30,000,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Livspace,Home Design & Décor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"8,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
WOW! MOMO,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,"1,600,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
RainCan,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,"100,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Allygrow Technologies,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Infogain,Business and IT consulting,New Delhi / US,ChrysCapital,Private Equity,"63,000,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
OneAssist,Credit Card Fraud protection solutions,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,"7,500,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
BigBasket,Online & mobile Grocery store,Bangalore,Bessemer Venture Partners,Private Equity,"50,000,000",Series C,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Sheroes,Career Community for Women,Noida,"Quintillion Media, 500 Startups",Seed Funding,"770,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Scripbox,Mutual Fund Investing platform,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,"2,500,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
betaout,Ecommerce Marketing Software Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &  Group of other Angel investors",Seed Funding,"500,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
IFMR Holdings,Financial Inclusion platform,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,"25,000,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Massblurb,Digital Marketing automation solution,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Agrostar,Mobile Commerce for Farmers,Pune,IDG Ventures,Private Equity,"4,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
VoxWeb,Picture based Social App,Mumbai,Jitendra Gupta & others,Seed Funding,"100,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Trukky,Logistics service platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,"245,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
VanityCube,On-Demand Beauty Services,New Delhi,Group of angel investors,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Edu4Share,Exam Preparation Platform,New Delhi,Nalin Jain & other angel investors,Seed Funding,"220,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
YourStory,Startup Focused Online Publisher,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Sampurnearth,Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,"160,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Orobind,App based Fitness coaching,Bangalore,Existing & New Investors,Private Equity,,pre series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Fixy,On demand cleaning & fixing services,Mumbai,VentureNursery,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MSM Box,Beauty & Lifestyle platform,New Delhi,Rohit Goel,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
ShadowFax,on-demand delivery service,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,"310,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Gadgets 360,Car & Bike ecommerce platform,New Delhi,One97 Communications,Private Equity,,Strategic Investment,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Roposo,Fashion Discovery platform,Gurgaon,Tiger Global,Private Equity,"15,000,000",Series B,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
IntelligenceNODE,Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,"4,200,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
HyperVerge,Deep Learning Cloud Algorithms,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,"1,000,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Twyst,Location based engagement & rewards platform,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
IDfy,Online Identity Verification Services platform,Mumbai,"NEA, Blume Ventures & others",Private Equity,,Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Zoojoo.be,Corporate Wellness App,Bangalore,RoundGlass Partners,Private Equity,"1,000,000",Series A,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Fashionove,Fashion Search & Review Platform,Kolkata,Umesh Yadav,Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",Mumbai,Unilazer Ventures,Private Equity,"2,400,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
Envoged,pre-owned Luxury online apparel seller,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,,,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
MebelKart,Online Furniture Marketplace,Bangalore,AskMe,Private Equity,"20,000,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
LabsAdvisor,Online Diagnostic Tests Marketplace,New Delhi,Group of Angel Investors,Seed Funding,"156,000",,2015,Aug,,,Unknown,Unknown,,,,,,,Unknown,,, ,,144,501,59
